City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,279.94,91,100,11.08,TF,1683793264
1,dudinka,69.4058,86.1778,261.83,87,22,6.61,RU,1683793264
2,yigo village,13.5361,144.8886,301.89,82,75,4.63,GU,1683793265
3,waitangi,-43.9535,-176.5597,283.05,89,98,0.89,NZ,1683793265
4,kampong chhnang,12.1667,104.55,308.78,42,77,1.28,KH,1683793266
5,papatowai,-46.5619,169.4708,283.5,92,100,5.59,NZ,1683793266
6,isafjordur,66.0755,-23.124,279.17,81,0,1.03,IS,1683793267
7,keflavik,64.0049,-22.5624,280.39,93,100,4.63,IS,1683793268
8,adamstown,-25.066,-130.1015,295.02,54,100,9.52,PN,1683793268
9,bethel,41.3712,-73.414,284.53,80,0,0.0,US,1683793269
10,badger,64.8,-147.5333,282.08,63,75,1.54,US,1683793269
11,hawaiian paradise park,19.5933,-154.9731,294.88,88,75,1.54,US,1683793270
12,grytviken,-54.2811,-36.5092,270.93,78,16,5.51,GS,1683793271
13,nar'yan-mar,67.6713,53.087,273.38,92,100,5.54,RU,1683793271
14,lautoka,-17.6167,177.4667,297.07,83,20,2.06,FJ,1683793272
15,talnakh,69.4865,88.3972,261.6,82,16,5.88,RU,1683793272
16,zeya,53.75,127.2667,293.62,25,73,3.1,RU,1683793273
17,punta del este,-34.9667,-54.95,286.46,73,75,4.92,UY,1683793274
18,codajas,-3.8367,-62.0569,295.81,99,100,1.33,BR,1683793274
19,saint-louis,16.3333,-15.0,300.92,28,13,5.49,SN,1683793275
20,ilulissat,69.2167,-51.1,270.16,74,100,5.66,GL,1683793275
21,puerto ayora,-0.7393,-90.3518,297.9,100,75,3.04,EC,1683793276
22,tolanaro,-25.0319,46.9987,301.19,69,40,7.2,MG,1683793276
23,birobidzhan,48.8,132.95,291.78,30,50,1.77,RU,1683793071
24,melekeok village,7.4957,134.6367,302.46,79,75,2.57,PW,1683793278
25,christchurch,-43.5333,172.6333,280.9,67,75,3.6,NZ,1683793207
26,west island,-12.1568,96.8225,303.14,84,40,7.2,CC,1683793279
27,punta arenas,-53.15,-70.9167,281.21,76,40,8.75,CL,1683793024
28,bredasdorp,-34.5322,20.0403,287.94,83,100,6.5,ZA,1683793280
29,marsh harbour,26.5412,-77.0636,297.98,66,0,5.12,BS,1683793280
30,sinabang,2.4803,96.3801,303.22,71,42,5.57,ID,1683793281
31,ushuaia,-54.8,-68.3,281.96,66,0,3.09,AR,1683793024
32,soe,-9.8607,124.284,295.56,75,65,3.39,ID,1683793282
33,iquique,-20.2208,-70.1431,290.17,69,1,1.08,CL,1683793227
34,ribeira grande,38.5167,-28.7,289.69,88,20,5.36,PT,1683793283
35,alaghsas,17.0187,8.0168,306.87,10,100,11.14,NE,1683793284
36,touros,-5.1989,-35.4608,297.87,82,8,3.81,BR,1683793251
37,lepsy,46.235,78.9456,300.92,15,100,3.37,KZ,1683793285
38,margaret river,-33.95,115.0667,288.8,53,100,1.97,AU,1683793286
39,avarua,-21.2078,-159.775,297.18,83,75,6.69,CK,1683793286
40,esikhaleni,-28.871,31.8996,296.25,68,0,4.38,ZA,1683793287
41,selfoss,63.9331,-20.9971,281.51,80,76,1.4,IS,1683793287
42,wailua homesteads,22.0669,-159.378,296.59,83,100,5.66,US,1683793288
43,arta,39.1606,20.9853,291.95,58,98,1.56,GR,1683793289
44,iqaluit,63.7506,-68.5145,263.0,92,20,8.23,CA,1683793256
